tolerance,threshold_ratio,min_length,gap_penalty,mismatch_score,match_score,auc
0.1,0.5,3,-3,-3,2,0.4795767195767196
0.1,0.5,3,-3,-3,3,0.4281613756613756
0.1,0.5,5,0,0,1,0.5913359788359789
0.1,0.5,5,0,0,2,0.5913359788359789
0.1,0.5,5,0,0,3,0.5913359788359789
0.1,0.5,5,0,-1,1,0.54
0.1,0.5,5,0,-1,2,0.54
0.1,0.5,5,0,-1,3,0.54
0.1,0.5,5,0,-2,1,0.54
0.1,0.5,5,0,-2,2,0.54
0.1,0.5,5,0,-2,3,0.54
0.1,0.5,5,0,-3,1,0.54
0.1,0.5,5,0,-3,2,0.54
0.1,0.5,5,0,-3,3,0.54
0.1,0.5,5,-1,0,1,0.5917460317460318
0.1,0.5,5,-1,0,2,0.5982010582010582
0.1,0.5,5,-1,0,3,0.595568783068783
0.1,0.5,5,-1,-1,1,0.4974999999999999
0.1,0.5,5,-1,-1,2,0.5408201058201058
0.1,0.5,5,-1,-1,3,0.5641005291005291
0.1,0.5,5,-1,-2,1,0.5590079365079366
0.1,0.5,5,-1,-2,2,0.5147619047619048
0.1,0.5,5,-1,-2,3,0.5469179894179894
0.1,0.5,5,-1,-3,1,0.5914814814814815
0.1,0.5,5,-1,-3,2,0.5157539682539681
0.1,0.5,5,-1,-3,3,0.541653439153439
0.1,0.5,5,-2,0,1,0.5938227513227513
0.1,0.5,5,-2,0,2,0.5917460317460318
0.1,0.5,5,-2,0,3,0.5947619047619048
